Article Title,Article Link,Date,Age (days),Category,Page Number
Saving More than Kenneth Bae: US foreign policy in North Korea,/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,2014-02-25,98,Opinions,1
De Blasio Promises Best Plan for Universal Pre-K,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,2014-02-24,99,Opinions,1
Google it?,/2013/12/17/google-it/,2013-12-17,168,Opinions,1
Shutdown 2013: Acts of Self-Interest,/2013/11/18/shutdown-2013-self-interest/,2013-11-18,197,Opinions,2
A Big Stuff Moment,/2013/11/13/a-big-stuff-moment/,2013-11-13,202,Opinions,2
Dear Mr. Putin: Can I call you Vlad?,/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,2013-10-22,224,Opinions,2
What Happens to a Dream Deferred?,/2013/10/22/a-dream-deferred/,2013-10-22,224,Opinions,3
Wail to the Chief,/2013/10/22/wail-to-the-chief/,2013-10-22,224,Opinions,3
Politically Incorrect Maroon Confessions,/2013/08/05/politically-incorrect-maroon-confessions/,2013-08-05,302,Opinions,3
Why we Should Care a Woman Led the Greatest Manhunt in History,/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,2013-07-20,318,Opinions,4
UCPU Debate: Corporate Greed,/2014/03/28/ucpu-debate-corporate-greed/,2014-03-28,67,Column: UCPU,1
UCPU Debate: Humanitarian Intervention,/2014/02/12/ucpu-debate-humanitarian-intervention/,2014-02-12,111,Column: UCPU,1
Coming Soon: UChicago Political Union,/2014/01/21/coming-soon-uchicago-political-union/,2014-01-21,133,Column: UCPU,1
A Wall Around Hyde Park: The History and the Future of the UCPD,/2014/06/02/a-wall-around-hyde-park/,2014-06-02,1,Chicago,1
State Reps Attack Illinois State Charter School Commission,/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,2014-05-14,20,Chicago,1
A Chicagoan Reviews Chicagoland  Episode 8,/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,2014-05-11,23,Chicago,1
Senators Mark Kirk and Dick Durbin: A rare bipartisan bromance?,/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,2014-05-04,30,Chicago,2
A Chicagoan Reviews Chicagoland  Episode 7,/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,2014-05-01,33,Chicago,2
Cracks in the Basin  Part 4: Epilogue: Literally divided now,/2014/04/19/epilogue/,2014-04-19,45,Chicago,2
A Chicagoan Reviews Chicagoland  Episode 6,/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,2014-04-19,45,Chicago,3
Riding with Strangers: Regulating ride-sharing in Chicago and Illinois,/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,2014-04-14,50,Chicago,3
A Chicagoan Reviews Chicagoland  Episode 5,/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,2014-04-07,57,Chicago,3
A Chicagoan Reviews Chicagoland  Episode 4,/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,2014-04-06,58,Chicago,4
A Chicagoan Reviews Chicagoland  Episode 3,/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,2014-03-29,66,Chicago,4
A Chicagoan Reviews Chicagoland  Episode 2,/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,2014-03-25,70,Chicago,4
A Chicagoan Reviews Chicagoland  Episode 1,/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,2014-03-19,76,Chicago,5
GOP Forum: Rauners opponents on the offensive,/2014/03/10/gop-forum/,2014-03-10,85,Chicago,5
Mayor Emanuel Gets Schooled,/2014/02/10/mayor-emanuel-gets-schooled/,2014-02-10,113,Chicago,5
State of the State: Governor Quinn unofficially kicks off his campaign,/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,2014-02-06,117,Chicago,6
Cracks in the Basin  Part 3: The Whole County is Fracked,/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,2014-02-06,117,Chicago,6
"Cracks in the Basin  Part 2: Big Greens, Little Greens, and a Fractured Opposition",/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,2014-01-24,130,Chicago,6
Cracks in the Basin  Part 1: Illinois: A National Model?,/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,2014-01-16,138,Chicago,7
Illinois Without Career Politicians?,/2013/11/25/illinois-without-career-politicians/,2013-11-25,190,Chicago,7
Officials Review Response to 2008 Crisis,/2013/11/22/officials-review-response-to-2008-crisis/,2013-11-22,193,Chicago,7
Proposed Bike Registration Sparks Generational Divide,/2013/11/20/proposed-bike-tax-chicago/,2013-11-20,195,Chicago,8
Republicans Moving in on Illinois Gubernatorial Race,/2013/10/29/republicans-illinois-gubernatorial-race/,2013-10-29,217,Chicago,8
Bike Sharing Expands In the Windy City,/2013/06/20/bike-sharing-expands-in-the-windy-city/,2013-06-20,348,Chicago,8
Review: Last Week Tonight with John Oliver,/2014/05/29/review-last-week-tonight-with-john-oliver/,2014-05-29,5,Arts & Culture,1
Chiraq: An unbalanced portrayal of drill music,/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,2014-02-28,95,Arts & Culture,1
Pop Culture Podcast: Episode 1,/2014/02/24/pop-culture-podcast-episode-1/,2014-02-24,99,Arts & Culture,1
The Flame of Love in Catching Fire,/2014/01/27/the-flame-of-love-in-catching-fire/,2014-01-27,127,Arts & Culture,2
Instagram Featuring Dictators,/2013/12/06/instagram-featuring-dictators/,2013-12-06,179,Arts & Culture,2
Crossing Blurred Lines: Did Robin Thicke plagiarize his hit single?,/2013/11/26/thick-blurred-lines-plagiarism/,2013-11-26,189,Arts & Culture,2
Years in the Making: Is Hollywood ready to talk seriously about slavery?,/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,2013-11-22,193,Arts & Culture,3
The Captain Has the Con: Fact and Fiction in Captain Phillips,/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,2013-11-14,201,Arts & Culture,3
Objects in Space: The Gravity of Hollywoods Portrayal of Science,/2013/10/29/gravity-movie-and-science/,2013-10-29,217,Arts & Culture,3
"Move Over, Press Secretary: Pols play with Instagram",/2013/10/22/russian-pols-instagram/,2013-10-22,224,Arts & Culture,4
Review: Alpha House,/2013/06/12/review-alpha-house/,2013-06-12,356,Arts & Culture,4
The State of Opinion Writing: An Interview with Frank Rich,/2014/05/28/the-state-of-opinion-writing-an-interview-with-frank-rich/,2014-05-28,6,Interviews,1
Kasim Reed: Atlantas Decisive Leader,/2014/05/16/kasim-reed-atlantas-decisive-leader/,2014-05-16,18,Interviews,1
Ana Navarro: A Republican on the rise,/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,2014-04-15,49,Interviews,1
In the Minority: An Interview with Reps Kelly (R-NY) and Davis (D-TN),/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,2014-02-19,104,Interviews,2
Tommy Vietor: Bridging the gap between the public and the classified,/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,2014-01-24,130,Interviews,2
Jon Favreau: The voice behind a generational voice,/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,2013-12-01,184,Interviews,2
Claire McCaskill: A leading voice on both sides of the aisle,/2013/11/21/claire-mccaskill-a-leading-voice-on-both-sides-of-the-aisle/,2013-11-21,194,Interviews,3
Mark Leibovich: A conscious eye on a self-conscious city,/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,2013-11-06,209,Interviews,3
John McCain: A statesman fit for compromise,/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,2013-11-01,214,Interviews,3
Ed Gillespie: A discussion with a Republican strategist,/2013/10/30/interview-with-ed-gillespie/,2013-10-30,216,Interviews,4
George Packer: Defending the Ordinary,/2013/10/15/interview-george-packer/,2013-10-15,231,Interviews,4
Chinese Companies on US Exchanges: Is this time different?,/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,2014-05-15,19,US,1
Incentivizing Education: Performance-based compensation for teachers,/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,2014-04-29,35,US,1
Deportations and their Role in Immigration Policy,/2014/04/27/deportations-and-their-role-in-immigration-policy/,2014-04-27,37,US,1
New CEOs Controversial Resignation From Mozilla Corporation,/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,2014-04-21,43,US,2
De Blasios Education Promises,/2014/04/07/de-blasios-education-promises/,2014-04-07,57,US,2
Mandatory Minimums: Cooperation on reform?,/2014/04/06/mandatory-minimums-cooperation-on-reform/,2014-04-06,58,US,2
Where are the Pragmatists? Cantors foreign policy and the Republican response,/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,2014-03-17,78,US,3
Vergara v. California v. Students?,/2014/03/04/vergara-v-california-v-students/,2014-03-04,91,US,3
Shelby County v. Holder: A setback for liberal voting rights activists,/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,2014-02-28,95,US,3
House Republicans Take Vine: Social media and political discourse,/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,2014-02-25,98,US,4
De Blasio Promises Best Plan for Universal Pre-K,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,2014-02-24,99,US,4
State of the Union Review,/2014/02/07/state-of-the-union-review/,2014-02-07,116,US,4
The Year After the Year of the MOOC,/2014/01/28/years-after-mooc/,2014-01-28,126,US,5
Six Blind Reformers and an Elephant,/2013/12/17/six-blind-reformers-and-an-elephant/,2013-12-17,168,US,5
"The Old, the Young, and the Inter-generational Transfer of Wealth",/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,2013-12-13,172,US,5
Race to Mars,/2013/12/10/race-to-mars/,2013-12-10,175,US,6
J.P. Morgan Pays $13 Billion in Fines: Is it enough?,/2013/12/03/jp-morgan-fines/,2013-12-03,182,US,6
"Raise Scores, Then Wages",/2013/11/21/raise-scores-then-wages/,2013-11-21,194,US,6
Feinstein Stands by the NSA,/2013/11/18/feinstein-stands-by-the-nsa/,2013-11-18,197,US,7
The True Meaning of the Shutstorm,/2013/11/13/the-true-meaning-of-the-shutstorm/,2013-11-13,202,US,7
Wendy Davis and the Battle for Texas,/2013/10/31/wendy-davis-texas/,2013-10-31,215,US,7
Democrat Shutdown Strategy,/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,2013-10-18,228,US,8
A Way Out of the Debt Ceiling Debacle,/2013/10/16/debt-ceiling-debacle/,2013-10-16,230,US,8
Inside the Debate on Healthcare,/2013/09/30/inside-the-debate-on-healthcare/,2013-09-30,246,US,8
Fracking in California,/2013/07/20/fracking-in-california/,2013-07-20,318,US,9
The Aftermath of an Avalanche,/2014/05/11/1204/,2014-05-11,23,World,1
