Article Title,Category,Date,URL,Pageviews,Unique Pageviews,Average Time (s),Entrances,Bounce Rate,Exit Rate
Review: Alpha House,Arts & Culture,20130612,/2013/06/12/review-alpha-house/,4,3,57,1,1.0,0.25
A System In Rags,World,20130617,/2013/06/17/a-system-in-rags/,7,6,58,3,0.6667000000000001,0.4286
Bike Sharing Expands In the Windy City,Chicago,20130620,/2013/06/20/bike-sharing-expands-in-the-windy-city/,2,2,42,0,0.0,0.0
The Serengeti Sell-Off,World,20130622,/2013/06/22/the-serengeti-sell-off/,4,4,13,3,1.0,0.75
Kerry Pushes for Peace,World,20130624,/2013/06/24/kerrys-push-for-peace/,2,1,60,1,0.0,0.5
From Palestine to Syria to Palestine again: generations of strife for Palestinian refugees,World,20130701,/2013/07/01/palestinian-refugee-strife/,6,6,12,5,1.0,0.8332999999999999
Vladimir Zhirinovsky: A Profile,World,20130715,/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,16,16,55,12,1.0,0.875
Why we Should Care a Woman Led the Greatest Manhunt in History,Opinions,20130720,/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,7,6,11,1,1.0,0.5714
Fracking in California,US,20130720,/2013/07/20/fracking-in-california/,9,7,69,1,1.0,0.5556
Politically Incorrect Maroon Confessions,Opinions,20130805,/2013/08/05/politically-incorrect-maroon-confessions/,15,15,40,9,0.8889,0.7333
Inside the Debate on Healthcare,US,20130930,/2013/09/30/inside-the-debate-on-healthcare/,3,3,17,0,0.0,0.3333
George Packer: Defending the Ordinary,Interviews,20131015,/2013/10/15/interview-george-packer/,17,16,29,6,1.0,0.5882000000000001
A Way Out of the Debt Ceiling Debacle,US,20131016,/2013/10/16/debt-ceiling-debacle/,1,1,0,1,1.0,1.0
Democrat Shutdown Strategy,US,20131018,/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,3,3,10,0,0.0,0.0
Dear Mr. Putin: Can I call you Vlad?,Opinions,20131022,/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,500,434,70,415,0.894,0.8420000000000001
What Happens to a Dream Deferred?,Opinions,20131022,/2013/10/22/a-dream-deferred/,4,4,0,1,1.0,1.0
Wail to the Chief,Opinions,20131022,/2013/10/22/wail-to-the-chief/,2,2,10,1,1.0,0.5
"Move Over, Press Secretary: Pols play with Instagram",Arts & Culture,20131022,/2013/10/22/russian-pols-instagram/,6,5,36,3,0.6667000000000001,0.6667000000000001
Outside the Bubble: How foreign media covered the shutdown,World,20131022,/2013/10/22/foreign-media-on-us-shutdown/,4,4,6,1,1.0,0.5
Turkey: Reforms of self-interest,World,20131022,/2013/10/22/turkey-reforms-of-self-interest/,5,5,23,1,1.0,0.4
