Article Title,Category,Date,URL,Pageviews,Unique Pageviews,Average Time (s),Entrances,Bounce Rate,Exit Rate
Review: Alpha House,Arts & Culture,20130612,/2013/06/12/review-alpha-house/,0,0,0,0,0,0
A System In Rags,World,20130617,/2013/06/17/a-system-in-rags/,2,2,16,1,1.0,0.5
Bike Sharing Expands In the Windy City,Chicago,20130620,/2013/06/20/bike-sharing-expands-in-the-windy-city/,0,0,0,0,0,0
The Serengeti Sell-Off,World,20130622,/2013/06/22/the-serengeti-sell-off/,1,1,0,1,1.0,1.0
Kerry Pushes for Peace,World,20130624,/2013/06/24/kerrys-push-for-peace/,0,0,0,0,0,0
From Palestine to Syria to Palestine again: generations of strife for Palestinian refugees,World,20130701,/2013/07/01/palestinian-refugee-strife/,1,1,0,1,1.0,1.0
Vladimir Zhirinovsky: A Profile,World,20130715,/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,6,6,97,5,1.0,0.8332999999999999
Why we Should Care a Woman Led the Greatest Manhunt in History,Opinions,20130720,/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,2,2,0,1,1.0,1.0
Fracking in California,US,20130720,/2013/07/20/fracking-in-california/,0,0,0,0,0,0
Politically Incorrect Maroon Confessions,Opinions,20130805,/2013/08/05/politically-incorrect-maroon-confessions/,6,6,0,6,0.8332999999999999,1.0
Inside the Debate on Healthcare,US,20130930,/2013/09/30/inside-the-debate-on-healthcare/,1,1,0,0,0.0,1.0
George Packer: Defending the Ordinary,Interviews,20131015,/2013/10/15/interview-george-packer/,5,5,3,3,1.0,0.8
A Way Out of the Debt Ceiling Debacle,US,20131016,/2013/10/16/debt-ceiling-debacle/,0,0,0,0,0,0
Democrat Shutdown Strategy,US,20131018,/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,1,1,10,0,0.0,0.0
Dear Mr. Putin: Can I call you Vlad?,Opinions,20131022,/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,119,103,96,103,0.9126000000000001,0.8571
What Happens to a Dream Deferred?,Opinions,20131022,/2013/10/22/a-dream-deferred/,0,0,0,0,0,0
Wail to the Chief,Opinions,20131022,/2013/10/22/wail-to-the-chief/,1,1,0,1,1.0,1.0
"Move Over, Press Secretary: Pols play with Instagram",Arts & Culture,20131022,/2013/10/22/russian-pols-instagram/,1,1,0,0,0.0,1.0
Outside the Bubble: How foreign media covered the shutdown,World,20131022,/2013/10/22/foreign-media-on-us-shutdown/,0,0,0,0,0,0
Turkey: Reforms of self-interest,World,20131022,/2013/10/22/turkey-reforms-of-self-interest/,2,2,57,0,0.0,0.5
Introducing: Rxeform,Column: Rxeform,20131027,/2013/10/27/introducing-rxeform/,1,1,47,0,0.0,0.0
Introducing: Shatter Zones,Column: Shatter Zones,20131027,/2013/10/27/introducing_shatterzones/,2,2,1718,1,0.0,0.5
Magnitsky: The perils of whistle-blowing in Russia,World,20131028,/2013/10/28/magnitsky-russia/,3,3,161,2,1.0,0.6667000000000001
Republicans Moving in on Illinois Gubernatorial Race,Chicago,20131029,/2013/10/29/republicans-illinois-gubernatorial-race/,0,0,0,0,0,0
Objects in Space: The Gravity of Hollywoods Portrayal of Science,Arts & Culture,20131029,/2013/10/29/gravity-movie-and-science/,4,4,0,4,1.0,1.0
Ed Gillespie: A discussion with a Republican strategist,Interviews,20131030,/2013/10/30/interview-with-ed-gillespie/,7,6,72,3,1.0,0.5714
Is Le Pen Mightier?,World,20131030,/2013/10/30/is-le-pen-mightier/,2,2,29,0,0.0,0.0
Wendy Davis and the Battle for Texas,US,20131031,/2013/10/31/wendy-davis-texas/,4,4,64,3,1.0,0.75
John McCain: A statesman fit for compromise,Interviews,20131101,/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,2,2,13,1,1.0,0.5
From Bread Lines to the Front Lines,World,20131105,/2013/11/05/bread-lines-to-front-lines/,2,2,33,2,0.5,0.5
