Article URL,Date,Pageviews,Unique Pageviews,Average Time,Entrances,Bounce Rate,Exit Rate
/2014/,2014,3,3,0,3,1.0,1.0
/2014/01/,201401,2,2,0,2,1.0,1.0
/2014/02/,201402,1,1,0,1,1.0,1.0
/2013/06/12/review-alpha-house/,20130612,4,3,57,1,1.0,0.25
/2013/06/17/a-system-in-rags/,20130617,7,6,58,3,0.6667000000000001,0.4286
/2013/06/20/bike-sharing-expands-in-the-windy-city/,20130620,2,2,42,0,0.0,0.0
/2013/06/22/the-serengeti-sell-off/,20130622,4,4,13,3,1.0,0.75
/2013/06/24/kerrys-push-for-peace/,20130624,2,1,60,1,0.0,0.5
/2013/07/01/palestinian-refugee-strife/,20130701,6,6,12,5,1.0,0.8332999999999999
/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,20130715,16,16,55,12,1.0,0.875
/2013/07/20/fracking-in-california/,20130720,9,7,69,1,1.0,0.5556
/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,20130720,7,6,11,1,1.0,0.5714
/2013/08/05/politically-incorrect-maroon-confessions/,20130805,15,15,40,9,0.8889,0.7333
/2013/09/30/inside-the-debate-on-healthcare/,20130930,3,3,17,0,0.0,0.3333
/2013/10/15/interview-george-packer/,20131015,17,16,29,6,1.0,0.5882000000000001
/2013/10/16/debt-ceiling-debacle/,20131016,1,1,0,1,1.0,1.0
/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,20131018,3,3,10,0,0.0,0.0
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,20131022,500,434,70,415,0.894,0.8420000000000001
/2013/10/22/russian-pols-instagram/,20131022,6,5,36,3,0.6667000000000001,0.6667000000000001
/2013/10/22/turkey-reforms-of-self-interest/,20131022,5,5,23,1,1.0,0.4
/2013/10/22/a-dream-deferred/,20131022,4,4,0,1,1.0,1.0
/2013/10/22/foreign-media-on-us-shutdown/,20131022,4,4,6,1,1.0,0.5
/2013/10/22/wail-to-the-chief/,20131022,2,2,10,1,1.0,0.5
/2013/10/22/,20131022,1,1,8,0,0.0,0.0
/2013/10/27/introducing_shatterzones/,20131027,13,12,235,6,0.5,0.3846
/2013/10/27/introducing-rxeform/,20131027,6,6,35,1,1.0,0.16670000000000001
/2013/10/28/magnitsky-russia/,20131028,9,9,87,6,1.0,0.7778
