Article URL,Date,Pageviews,Unique Page Views,Average Time,Entrances,Bounce Rate,Exit Rate
/2013/06/17/a-system-in-rags/,20130617,2,2,16,1,1.0,0.5
/2013/06/22/the-serengeti-sell-off/,20130622,1,1,0,1,1.0,1.0
/2013/07/01/palestinian-refugee-strife/,20130701,1,1,0,1,1.0,1.0
/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,20130715,6,6,97,5,1.0,0.8332999999999999
/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,20130720,2,2,0,1,1.0,1.0
/2013/08/05/politically-incorrect-maroon-confessions/,20130805,6,6,0,6,0.8332999999999999,1.0
/2013/09/30/inside-the-debate-on-healthcare/,20130930,1,1,0,0,0.0,1.0
/2013/10/15/interview-george-packer/,20131015,5,5,3,3,1.0,0.8
/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,20131018,1,1,10,0,0.0,0.0
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,20131022,119,103,96,103,0.9126000000000001,0.8571
/2013/10/22/turkey-reforms-of-self-interest/,20131022,2,2,57,0,0.0,0.5
/2013/10/22/russian-pols-instagram/,20131022,1,1,0,0,0.0,1.0
/2013/10/22/wail-to-the-chief/,20131022,1,1,0,1,1.0,1.0
/2013/10/27/introducing_shatterzones/,20131027,2,2,1718,1,0.0,0.5
/2013/10/27/introducing-rxeform/,20131027,1,1,47,0,0.0,0.0
/2013/10/28/magnitsky-russia/,20131028,3,3,161,2,1.0,0.6667000000000001
/2013/10/29/gravity-movie-and-science/,20131029,4,4,0,4,1.0,1.0
/2013/10/30/interview-with-ed-gillespie/,20131030,7,6,72,3,1.0,0.5714
/2013/10/30/is-le-pen-mightier/,20131030,2,2,29,0,0.0,0.0
/2013/10/31/wendy-davis-texas/,20131031,4,4,64,3,1.0,0.75
/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,20131101,2,2,13,1,1.0,0.5
/2013/11/05/migrants-marooned-italian-immigration-crisis/,20131105,13,12,2,12,0.9167000000000001,0.9231
/2013/11/05/bread-lines-to-front-lines/,20131105,2,2,33,2,0.5,0.5
/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,20131106,2,2,87,1,1.0,0.5
/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,20131110,5,5,0,5,1.0,1.0
/2013/11/12/farah-al-haddad-interview/,20131112,2,2,0,2,1.0,1.0
/2013/11/13/a-big-stuff-moment/,20131113,1,1,0,1,1.0,1.0
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,20131114,19,18,132,18,0.9444,0.9473999999999999
/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,20131114,2,2,71,0,0.0,0.0
/2013/11/15/superfood-to-the-rescue/,20131115,25,24,347,23,0.9129999999999999,0.92
/2013/11/15/malaysian-court-minorities-allah/,20131115,1,1,0,1,1.0,1.0
/2013/11/19/healthcare-reform-today-and-tomorrow/,20131119,2,2,0,0,0.0,1.0
/2013/11/20/election-violence-in-the-philippines/,20131120,8,7,465,7,0.8571,0.875
/2013/11/20/proposed-bike-tax-chicago/,20131120,1,1,0,1,1.0,1.0
/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,20131121,72,63,78,62,0.8548,0.8611
/2013/11/21/raise-scores-then-wages/,20131121,7,7,133,1,1.0,0.7143
/2013/11/22/officials-review-response-to-2008-crisis/,20131122,1,1,0,0,0.0,1.0
/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,20131122,1,1,0,1,1.0,1.0
/2013/11/25/illinois-without-career-politicians/,20131125,5,4,93,3,0.6667000000000001,0.6
/2013/11/26/thick-blurred-lines-plagiarism/,20131126,19,18,5,16,1.0,0.8946999999999999
/2013/11/28/suriname-and-hezbollah/,20131128,7,6,21,4,1.0,0.5714
/2013/11/28/demarcating-chinas-imaginary-valleys/,20131128,6,2,21,1,1.0,0.16670000000000001
