# ----------------------------------------
# All Web Site Data
# Event Pages
# 20130524-20140602
# ----------------------------------------

Page,Total Events,Unique Events,Event Value,Avg. Value
/join/,85,83,0,0.00
/staff/,38,38,0,0.00
/,29,26,0,0.00
/2014/04/25/no-mans-land/,21,17,0,0.00
/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,18,14,0,0.00
/2013/12/06/instagram-featuring-dictators/,16,11,0,0.00
/2013/11/26/thick-blurred-lines-plagiarism/,13,11,0,0.00
/2014/06/02/a-wall-around-hyde-park/,11,9,0,0.00
/2014/01/31/panda-diplomacy/,9,5,0,0.00
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,9,9,0,0.00
/contact/,9,9,0,0.00
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,8,7,0,0.00
/2013/11/15/malaysian-court-minorities-allah/,6,5,0,0.00
/2014/01/28/years-after-mooc/,6,6,0,0.00
/2014/03/10/in-putins-shoes/,6,4,0,0.00
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,6,4,0,0.00
/?p=681&preview=true&preview_id=681&preview_nonce=5fb79cbd11&post_format=standard,5,2,0,0.00
/2013/09/30/inside-the-debate-on-healthcare/,5,5,0,0.00
/2013/11/05/migrants-marooned-italian-immigration-crisis/,5,2,0,0.00
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,5,5,0,0.00
/2014/01/21/coming-soon-uchicago-political-union/,5,4,0,0.00
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,5,5,0,0.00
/2014/04/06/mandatory-minimums-cooperation-on-reform/,5,5,0,0.00
/2013/10/16/debt-ceiling-debacle/,4,4,0,0.00
/2013/10/22/foreign-media-on-us-shutdown/,4,2,0,0.00
/2013/11/19/healthcare-reform-today-and-tomorrow/,4,3,0,0.00
/2013/11/21/raise-scores-then-wages/,4,3,0,0.00
/2013/12/05/who-are-the-indian-mujahideen/,4,3,0,0.00
/2013/12/17/six-blind-reformers-and-an-elephant/,4,3,0,0.00
/2014/02/13/china-invests-in-africa/,4,4,0,0.00
/2014/03/17/fighting-words/,4,1,0,0.00
/2013/06/24/kerrys-push-for-peace/,3,2,0,0.00
/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,3,2,0,0.00
/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,3,3,0,0.00
/2013/11/15/superfood-to-the-rescue/,3,3,0,0.00
/2013/11/20/proposed-bike-tax-chicago/,3,2,0,0.00
/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,3,2,0,0.00
/2014/01/13/why-insurance-part-1-health/,3,3,0,0.00
/2014/01/31/anti-gay-law-in-nigeria/,3,3,0,0.00
/2014/03/10/fixing-the-big-ms/,3,2,0,0.00
/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,3,3,0,0.00
/2014/04/21/closing-the-gap/,3,3,0,0.00
/about/,3,3,0,0.00
/author/dloyorosales/,3,2,0,0.00
/category/world/,3,3,0,0.00
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,2,2,0,0.00
/2013/10/22/russian-pols-instagram/,2,2,0,0.00
/2013/10/29/gravity-movie-and-science/,2,2,0,0.00
/2013/10/29/republicans-illinois-gubernatorial-race/,2,2,0,0.00
/2013/10/31/wendy-davis-texas/,2,2,0,0.00
/2013/11/13/a-big-stuff-moment/,2,2,0,0.00
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,2,2,0,0.00
/2013/11/25/illinois-without-career-politicians/,2,2,0,0.00
/2013/11/28/demarcating-chinas-imaginary-valleys/,2,1,0,0.00
/2013/12/02/the-unconquered/,2,2,0,0.00
/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,2,2,0,0.00
/2014/01/27/why-insurance-part-2-access/,2,2,0,0.00
/2014/02/10/mayor-emanuel-gets-schooled/,2,2,0,0.00
/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,2,2,0,0.00
/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,2,1,0,0.00
/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,2,2,0,0.00
/2014/04/07/de-blasios-education-promises/,2,2,0,0.00
/2014/04/13/1109/,2,2,0,0.00
/author/nklein/,2,1,0,0.00
/?p=993&preview=true,1,1,0,0.00
/2013/06/17/a-system-in-rags/,1,1,0,0.00
/2013/06/20/bike-sharing-expands-in-the-windy-city/,1,1,0,0.00
/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,1,1,0,0.00
/2013/07/20/fracking-in-california/,1,1,0,0.00
/2013/08/05/politically-incorrect-maroon-confessions/,1,1,0,0.00
/2013/10/22/turkey-reforms-of-self-interest/,1,1,0,0.00
/2013/10/30/is-le-pen-mightier/,1,1,0,0.00
/2013/11/18/feinstein-stands-by-the-nsa/,1,1,0,0.00
/2013/11/20/election-violence-in-the-philippines/,1,1,0,0.00
/2013/11/28/suriname-and-hezbollah/,1,1,0,0.00
/2013/11/29/nazi-looted-art-finally-uncovered/,1,1,0,0.00
/2013/12/04/turkey-one-step-forward-two-steps-back/,1,1,0,0.00
/2013/12/10/race-to-mars/,1,1,0,0.00
/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,1,1,0,0.00
/2013/12/17/google-it/,1,1,0,0.00
/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,1,1,0,0.00
/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,1,1,0,0.00
/2014/02/24/pop-culture-podcast-episode-1/,1,1,0,0.00
/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,1,1,0,0.00
/2014/04/04/legacy-of-the-2012-2013-supreme-court/,1,1,0,0.00
/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,1,1,0,0.00
/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,1,1,0,0.00
/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,1,1,0,0.00
/2014/05/11/1204/,1,1,0,0.00
/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,1,1,0,0.00
/2014/05/12/to-build-a-future/,1,1,0,0.00
/author/alinton/,1,1,0,0.00
/author/astapleton/,1,1,0,0.00
/author/dsimon/,1,1,0,0.00
/author/ezheng/,1,1,0,0.00
/author/klancaster/,1,1,0,0.00
/author/pfreilly/,1,1,0,0.00
,470,413,0,0.00

Day Index,Total Events
5/24/13,0
5/25/13,0
5/26/13,0
5/27/13,0
5/28/13,0
5/29/13,0
5/30/13,0
5/31/13,0
6/1/13,0
6/2/13,0
6/3/13,0
6/4/13,0
6/5/13,0
6/6/13,0
6/7/13,0
6/8/13,0
6/9/13,0
6/10/13,0
6/11/13,0
6/12/13,0
6/13/13,0
6/14/13,0
6/15/13,0
6/16/13,0
6/17/13,0
6/18/13,0
6/19/13,0
6/20/13,0
6/21/13,0
6/22/13,0
6/23/13,0
6/24/13,0
6/25/13,0
6/26/13,0
6/27/13,0
6/28/13,0
6/29/13,0
6/30/13,0
7/1/13,0
7/2/13,0
7/3/13,0
7/4/13,0
7/5/13,0
7/6/13,0
7/7/13,0
7/8/13,0
7/9/13,0
7/10/13,0
7/11/13,0
7/12/13,0
7/13/13,0
7/14/13,0
7/15/13,0
7/16/13,0
7/17/13,0
7/18/13,0
7/19/13,0
7/20/13,0
7/21/13,0
7/22/13,0
7/23/13,0
7/24/13,0
7/25/13,0
7/26/13,0
7/27/13,0
7/28/13,0
7/29/13,0
7/30/13,0
7/31/13,0
8/1/13,0
8/2/13,0
8/3/13,0
8/4/13,0
8/5/13,0
8/6/13,0
8/7/13,0
8/8/13,0
8/9/13,0
8/10/13,0
8/11/13,0
8/12/13,0
8/13/13,0
8/14/13,0
8/15/13,0
8/16/13,0
8/17/13,0
