# ----------------------------------------
# All Web Site Data
# Pages
# 20140420-20140520
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,955,743,00:01:17,669,40.21%,38.64%,$0.00
/2014/04/25/no-mans-land/,260,224,00:02:46,212,72.64%,71.54%,$0.00
/staff/,159,151,00:01:32,11,72.73%,56.60%,$0.00
/2014/04/19/epilogue/,147,123,00:01:55,64,65.62%,56.46%,$0.00
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,119,103,00:01:36,103,91.26%,85.71%,$0.00
/2014/04/27/deportations-and-their-role-in-immigration-policy/,104,99,00:02:48,85,83.53%,77.88%,$0.00
/about/,88,70,00:00:38,3,0.00%,19.32%,$0.00
/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,87,84,00:06:14,81,95.06%,94.25%,$0.00
/2014/02/28/preview-supreme-court-2013-2014-term/,86,78,00:04:53,77,89.61%,88.37%,$0.00
/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,78,66,00:02:01,41,75.61%,52.56%,$0.00
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,77,63,00:02:21,52,71.15%,64.94%,$0.00
/2014/05/12/to-build-a-future/,74,69,00:02:01,57,78.95%,72.97%,$0.00
/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,72,63,00:01:18,62,85.48%,86.11%,$0.00
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,69,67,00:04:51,60,95.00%,91.30%,$0.00
/category/world/,63,52,00:00:25,4,25.00%,11.11%,$0.00
/category/national/,62,54,00:01:08,6,16.67%,16.13%,$0.00
/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,59,47,00:01:08,28,78.57%,54.24%,$0.00
/2014/05/11/1204/,59,51,00:04:38,37,83.78%,67.80%,$0.00
/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,58,53,00:01:32,30,70.00%,58.62%,$0.00
/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,53,40,00:00:50,37,70.27%,71.70%,$0.00
/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,53,47,00:01:22,26,84.62%,52.83%,$0.00
/2014/04/21/closing-the-gap/,52,47,00:01:17,31,90.32%,80.77%,$0.00
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,47,40,00:01:45,18,94.44%,61.70%,$0.00
/category/opinion/,47,43,00:00:36,1,0.00%,19.15%,$0.00
/category/interviews/,44,35,00:00:23,4,50.00%,22.73%,$0.00
/2014/05/16/kasim-reed-atlantas-decisive-leader/,40,35,00:03:06,24,91.67%,72.50%,$0.00
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,39,34,00:04:21,32,90.62%,82.05%,$0.00
/category/chicago/,39,36,00:00:35,2,0.00%,10.26%,$0.00
/category/columns/cartoons/,38,27,00:00:14,0,0.00%,10.53%,$0.00
/category/columns/rxeform/,38,33,00:00:15,2,0.00%,13.16%,$0.00
/join/,37,36,00:02:34,2,50.00%,40.54%,$0.00
/category/columns/supremecourtspotlight/,35,29,00:00:33,2,50.00%,20.00%,$0.00
/category/columns/ucpu/,33,31,00:00:11,11,63.64%,42.42%,$0.00
/contact/,32,27,00:00:09,3,33.33%,15.62%,$0.00
/category/columns/shatterzones/,28,23,00:00:23,1,0.00%,10.71%,$0.00
/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,26,24,00:03:17,16,87.50%,61.54%,$0.00
/2014/04/21/a-new-aca-case-scotus-takes-on-question-of-religious-liberties/,26,26,00:04:22,18,88.89%,69.23%,$0.00
/category/national/business/,26,16,00:00:19,0,0.00%,7.69%,$0.00
/2013/11/15/superfood-to-the-rescue/,25,24,00:05:47,23,91.30%,92.00%,$0.00
/2013/12/17/google-it/,25,23,00:01:39,17,82.35%,68.00%,$0.00
/2014/04/07/border-diplomacy-why-afghanistan-supports-a-russian-crimea/,24,18,00:07:26,13,76.92%,70.83%,$0.00
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,23,22,00:07:14,18,94.44%,86.96%,$0.00
/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,22,17,00:01:40,3,100.00%,27.27%,$0.00
/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,22,17,00:01:42,14,64.29%,59.09%,$0.00
/category/national/education/,22,21,00:04:55,2,50.00%,45.45%,$0.00
/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,20,19,00:01:04,6,83.33%,55.00%,$0.00
/category/culture/,20,15,00:02:04,0,0.00%,10.00%,$0.00
/category/national/science/,20,19,00:00:15,0,0.00%,10.00%,$0.00
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,19,18,00:02:12,18,94.44%,94.74%,$0.00
/2013/11/26/thick-blurred-lines-plagiarism/,19,18,00:00:05,16,100.00%,89.47%,$0.00
/2014/04/13/1109/,19,17,00:00:32,1,100.00%,36.84%,$0.00
/author/astapleton/,19,12,00:00:42,4,50.00%,26.32%,$0.00
/2014/04/07/de-blasios-education-promises/,18,15,00:01:59,8,62.50%,61.11%,$0.00
/author/jthowry/,18,12,00:01:31,1,100.00%,22.22%,$0.00
/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,17,16,00:03:08,6,100.00%,58.82%,$0.00
/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,16,14,00:00:40,14,85.71%,87.50%,$0.00
/2014/03/18/protests-in-venezuela/,16,16,00:03:36,8,87.50%,68.75%,$0.00
/2014/04/06/mandatory-minimums-cooperation-on-reform/,16,11,00:00:32,10,50.00%,62.50%,$0.00
/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,15,14,00:22:03,14,92.86%,93.33%,$0.00
/2014/02/06/so-long-and-thanks-for-all-the-fish-understanding-the-icj-ruling-on-the-chile-peru-border-dispute/,14,10,00:01:14,7,85.71%,50.00%,$0.00
/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,14,13,00:02:25,11,81.82%,71.43%,$0.00
