# ----------------------------------------
# All Web Site Data
# Pages
# 20130524-20140602
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"9,505","6,116",00:01:33,"5,327",35.44%,31.83%,$0.00
/2014/06/02/a-wall-around-hyde-park/,"2,824","2,645",00:07:43,"2,598",86.72%,86.01%,$0.00
/staff/,"1,151","1,027",00:01:33,95,61.05%,44.92%,$0.00
/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,955,738,00:00:52,618,84.30%,65.86%,$0.00
/category/world/,831,635,00:00:34,42,64.29%,18.17%,$0.00
/2013/12/17/google-it/,762,666,00:01:40,613,84.83%,78.35%,$0.00
/category/national/,686,531,00:00:42,42,50.00%,21.28%,$0.00
/category/opinion/,595,461,00:00:32,29,13.79%,15.97%,$0.00
/about/,584,519,00:00:51,34,32.35%,24.32%,$0.00
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,561,512,00:07:04,437,87.19%,79.14%,$0.00
/category/chicago/,442,371,00:00:34,16,25.00%,12.44%,$0.00
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,415,334,00:03:38,245,71.02%,61.20%,$0.00
/category/interviews/,412,312,00:00:39,8,25.00%,15.78%,$0.00
/category/columns/rxeform/,410,291,00:00:52,36,41.67%,13.66%,$0.00
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,399,346,00:03:04,192,77.60%,63.91%,$0.00
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,380,351,00:04:48,314,89.17%,85.79%,$0.00
/2013/11/15/superfood-to-the-rescue/,328,278,00:02:38,228,79.82%,67.99%,$0.00
/category/columns/shatterzones/,293,202,00:00:39,18,33.33%,11.26%,$0.00
/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,282,244,00:02:03,160,78.75%,60.28%,$0.00
/2014/04/25/no-mans-land/,274,236,00:02:47,221,72.40%,70.44%,$0.00
/join/,268,237,00:01:30,9,22.22%,36.57%,$0.00
/2013/11/20/election-violence-in-the-philippines/,261,247,00:03:04,229,85.59%,82.76%,$0.00
/category/columns/supremecourtspotlight/,249,180,00:00:44,19,31.58%,20.08%,$0.00
/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,228,210,00:05:06,164,90.24%,77.19%,$0.00
/2014/04/19/epilogue/,214,178,00:02:27,93,65.59%,55.14%,$0.00
/2013/11/12/farah-al-haddad-interview/,213,193,00:02:05,178,79.78%,74.18%,$0.00
/2014/02/28/preview-supreme-court-2013-2014-term/,207,184,00:03:58,170,86.47%,83.09%,$0.00
/category/columns/ucpu/,207,193,00:00:13,41,56.10%,31.88%,$0.00
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,205,194,00:03:39,165,91.52%,80.98%,$0.00
/2013/11/26/thick-blurred-lines-plagiarism/,189,170,00:03:24,136,83.09%,79.37%,$0.00
/2013/11/21/raise-scores-then-wages/,187,174,00:02:51,128,83.59%,72.73%,$0.00
